,state,2017,2018,2019,pop_2017,pop_2018,pop_2019,act_rate_2017,act_comp_2017,act_rate_2018,act_comp_2018,act_rate_2019,act_comp_2019,sat_rate_2017,sat_total_2017,sat_rate_2018,sat_total_2018,sat_rate_2019,sat_total_2019,gdp_cap_2017,gdp_cap_2018,gdp_cap_2019
0,Alabama,197566.6,200800.9,203383.9,4874486,4887681,4903185,1.0,19.2,1.0,19.1,1.0,18.9,0.05,1165,0.06,1166,0.07,1143,40530.75544785645,41083.06168098941,41479.95639568974
1,Alaska,54129.5,53249.6,53336.5,739700,735139,731545,0.65,19.8,0.33,20.8,0.38,20.1,0.38,1080,0.43,1106,0.41,1097,73177.63958361497,72434.7368320821,72909.39039977035
2,Arizona,302455.4,313618.7,323894.3,7044008,7158024,7278717,0.62,19.7,0.66,19.2,0.73,19.0,0.3,1116,0.29,1149,0.31,1134,42937.96940605406,43813.58598406488,44498.81758007627
3,Arkansas,113885.2,115937.6,116790.9,3001345,3009733,3017804,1.0,19.4,1.0,19.4,1.0,19.3,0.03,1208,0.05,1169,0.06,1141,37944.721449883305,38520.892052550844,38700.62469265731
4,California,2541769.3,2643576.3,2739343.4,39358497,39461588,39512223,0.31,22.8,0.27,22.7,0.23,22.6,0.53,1055,0.6,1076,0.63,1065,64579.93810078673,66991.12818267729,69329.0124425548
5,Colorado,329960.6,342535.9,356773.6,5611885,5691287,5758736,1.0,20.8,0.3,23.9,0.27,23.8,0.11,1201,1.0,1025,1.0,1024,58796.75011159352,60186.01767930522,61953.45645294384
6,Connecticut,247358.5,249998.1,251495.1,3573297,3571520,3565287,0.31,25.2,0.26,25.6,0.22,25.5,1.0,1041,1.0,1053,1.0,1046,69224.16468600287,69997.67605949288,70539.93128743913
7,Delaware,60801.2,61735.1,64262.4,956823,965479,973764,0.18,24.1,0.17,23.8,0.13,24.1,1.0,996,1.0,998,1.0,985,63544.87716118864,63942.45757805193,65993.8136961317
9,Florida,912966.2,943463.4,971619.2,20963613,21244317,21477737,0.73,19.8,0.66,19.9,0.54,20.1,0.83,1017,0.56,1099,1.0,999,43550.04073009743,44410.15448978661,45238.434570644014
10,Georgia,524874.7,539300.3,558277.3,10410330,10511131,10617423,0.55,21.4,0.53,21.4,0.49,21.4,0.61,1050,0.7,1064,0.71,1058,50418.64186822127,51307.54245190171,52581.243113324206
11,Hawaii,78941.6,79854.7,79175.4,1424393,1420593,1415872,0.9,19.0,0.89,18.9,0.8,19.0,0.55,1085,0.56,1010,0.54,1100,55421.2215308556,56212.22968154848,55919.8854133707
12,Idaho,66980.5,71075.4,73912.0,1717715,1750536,1787065,0.38,22.3,0.36,22.3,0.31,22.5,0.93,1005,1.0,1001,1.0,993,38993.95417749743,40602.07844911501,41359.43572281926
13,Illinois,755594.7,774065.0,777653.8,12778828,12723071,12671821,0.93,21.4,0.43,23.9,0.35,24.3,0.09,1115,0.99,1019,1.0,1013,59128.63840095508,60839.47814171594,61368.748816764375
14,Indiana,325841.7,337149.6,338350.1,6658078,6695497,6732219,0.35,22.6,0.32,22.5,0.29,22.5,0.63,1074,0.63,1074,0.66,1080,48939.30350470511,50354.67867433889,50258.33235668655
15,Iowa,170182.7,172929.4,172906.0,3141550,3148618,3155070,0.67,21.9,0.68,21.8,0.66,21.6,0.02,1275,0.03,1265,0.03,1244,54171.57135808757,54922.31829964765,54802.5875812581
16,Kansas,155407.9,158906.3,160182.3,2908718,2911359,2913314,0.73,21.7,0.71,21.6,0.72,21.2,0.04,1260,0.04,1265,0.04,1241,53428.31446706074,54581.485828439574,54982.847712261704
17,Kentucky,185866.5,188083.6,191355.5,4452268,4461153,4467673,1.0,20.0,1.0,20.2,1.0,19.8,0.04,1247,0.04,1248,0.04,1232,41746.476177983895,42160.31147104796,42831.133791573375
18,Louisiana,233774.4,236265.6,235947.6,4670560,4659690,4648794,1.0,19.5,1.0,19.2,1.0,18.8,0.04,1198,0.04,1210,0.05,1200,50052.755986434175,50704.14555474721,50754.582801474964
19,Maine,56662.6,58178.8,59433.9,1334612,1339057,1344212,0.08,24.3,0.07,24.0,0.06,24.3,0.95,1012,0.99,1013,0.99,1013,42456.234471142176,43447.590356497145,44214.677446712274
20,Maryland,366680.5,368643.9,369623.9,6023868,6035802,6045680,0.28,23.6,0.31,22.5,0.28,22.3,0.69,1060,0.76,1080,0.82,1058,60871.270751616736,61076.20826528107,61138.51543581532
21,Massachusetts,484413.8,502954.3,517727.1,6859789,6882635,6892503,0.29,25.4,0.25,25.5,0.21,25.5,0.76,1107,0.8,1125,0.81,1120,70616.42858111234,73075.83505445225,75114.52660956404
22,Michigan,457764.9,467830.4,467300.2,9973114,9984072,9986857,0.29,24.1,0.22,24.2,0.19,24.4,1.0,1005,1.0,1011,1.0,1003,45899.89646162673,46857.67490458803,46791.518092228616
23,Minnesota,328696.1,338524.5,340130.4,5566230,5606249,5639632,1.0,21.5,0.99,21.3,0.95,21.4,0.03,1295,0.04,1298,0.04,1284,59051.835802688714,60383.422141970506,60310.74367972946
24,Mississippi,101642.1,101131.5,101525.1,2988510,2981020,2976149,1.0,18.6,1.0,18.6,1.0,18.4,0.02,1242,0.03,1236,0.03,1237,34010.96198440025,33925.133008164994,34112.90899749979
25,Missouri,282174.2,285995.1,290842.0,6106670,6121623,6137428,1.0,20.4,1.0,20.0,0.82,20.8,0.03,1271,0.04,1262,0.04,1236,46207.54027972692,46718.83583814292,47388.25449357614
26,Montana,45910.5,46614.1,46788.0,1052482,1060665,1068778,1.0,20.3,1.0,20.0,1.0,19.8,0.1,1196,0.1,1198,0.09,1199,43621.17356876412,43947.994889998256,43777.0987052503
27,Nebraska,114480.9,116904.4,118286.5,1915947,1925614,1934408,0.84,21.4,1.0,20.1,1.0,20.0,0.03,1253,0.03,1252,0.03,1260,59751.60064448547,60710.194254923364,61148.68218080157
28,Nevada,145699.9,150711.6,156828.8,2969905,3027341,3080156,1.0,17.8,1.0,17.7,1.0,17.9,0.26,1116,0.23,1140,0.2,1156,49058.774607268584,49783.48986784112,50915.862703057894
29,New Hampshire,74107.3,75534.6,77126.5,1348787,1353465,1359711,0.18,25.5,0.16,25.1,0.14,25.0,0.96,1052,0.96,1063,0.95,1059,54943.66419605171,55808.31421573517,56722.71534171599
30,New Jersey,537045.1,550064.5,561842.8,8885525,8886025,8882190,0.34,23.9,0.31,23.7,0.25,24.2,0.7,1056,0.82,1094,0.82,1090,60440.44668154105,61902.20036518016,63254.98553847644
31,New Mexico,89032.0,90999.4,94872.3,2091784,2092741,2096829,0.66,19.7,0.67,19.4,0.63,19.3,0.11,1138,0.16,1093,0.18,1073,42562.71201997912,43483.355083118266,45245.60658022185
32,New York,1419583.6,1457995.8,1494736.4,19589572,19530351,19453561,0.31,24.2,0.27,24.5,0.22,24.5,0.67,1052,0.79,1068,0.79,1064,72466.28971781518,74652.82113977367,76836.13298357047
33,North Carolina,496726.5,504049.5,514624.9,10268233,10381615,10488084,1.0,19.1,1.0,19.1,1.0,19.0,0.49,1081,0.52,1098,0.51,1100,48375.07095914165,48552.127968528985,49067.5799316634
34,North Dakota,54083.1,55884.0,56247.0,754942,758080,762062,0.98,20.3,0.98,20.3,0.96,19.9,0.02,1256,0.02,1283,0.02,1263,71638.7484071624,73717.81342338539,73808.95517687537
35,Ohio,590738.9,598917.1,611145.8,11659650,11676341,11689100,0.75,22.0,1.0,20.3,1.0,20.0,0.12,1149,0.18,1099,0.19,1097,50665.234376675115,51293.21762699462,52283.39222010249
36,Oklahoma,194256.0,197358.3,200710.9,3931316,3940235,3956971,1.0,19.4,1.0,19.3,1.0,18.9,0.07,1047,0.08,1062,0.22,963,49412.46137425737,50087.9516069473,50723.36896075306
37,Oregon,205744.8,215208.8,219458.2,4143625,4181886,4217737,0.4,21.8,0.42,21.3,0.42,21.1,0.43,1108,0.48,1117,0.51,1112,49653.33494223053,51462.13933139258,52032.215379953755
38,Pennsylvania,694236.5,703946.0,716173.4,12787641,12800922,12801989,0.23,23.7,0.2,23.5,0.17,23.6,0.65,1071,0.7,1086,0.7,1082,54289.645760308726,54991.82012045695,55942.35395765455
39,Rhode Island,52608.8,52493.8,53225.0,1055673,1058287,1059361,0.21,24.0,0.15,24.2,0.12,24.7,0.71,1062,0.97,1018,1.0,995,49834.37105997785,49602.612523823875,50242.551877971724
40,South Carolina,202494.3,207772.7,212482.8,5021268,5084156,5148714,1.0,18.7,1.0,18.3,0.78,18.8,0.5,1064,0.55,1070,0.68,1030,40327.32369592701,40866.70432614577,41269.10137172117
41,South Dakota,45878.2,46454.1,46641.0,872868,878698,884659,0.8,21.8,0.77,21.9,0.75,21.6,0.03,1216,0.03,1240,0.03,1268,52560.29548568626,52866.96908380354,52722.00927136897
42,Tennessee,318412.0,322648.5,329111.6,6708799,6771631,6829174,1.0,19.8,1.0,19.6,1.0,19.4,0.05,1228,0.06,1231,0.07,1220,47461.84823841048,47647.088271643865,48192.0068224942
43,Texas,1664218.5,1729286.6,1785317.9,28295273,28628666,28995881,0.45,20.7,0.45,20.7,0.39,20.5,0.62,1020,0.66,1032,0.68,1022,58816.13158494707,60404.02301665051,61571.431473318575
44,Utah,154367.3,163327.0,171134.7,3101042,3153550,3205958,1.0,20.3,1.0,20.4,1.0,20.3,0.03,1238,0.04,1010,0.04,1230,49779.171001231196,51791.47310174248,53380.20647806366
45,Vermont,29500.9,29616.4,29902.8,624344,624358,623989,0.29,23.6,0.24,24.1,0.2,24.1,0.6,1114,0.64,1120,0.66,1106,47251.03468600643,47434.965196249585,47921.998624975764
46,Virginia,466724.8,477819.8,487251.6,8463587,8501286,8535519,0.29,23.8,0.24,23.9,0.21,24.0,0.65,1102,0.68,1117,0.68,1119,55145.0348416103,56205.590542419115,57085.175488450084
47,Washington,482824.1,515629.9,535980.5,7423362,7523869,7614893,0.29,21.9,0.24,22.2,0.24,22.1,0.64,1075,0.69,1081,0.7,1074,65041.16328962537,68532.54622056817,70385.8215735927
48,West Virginia,71459.4,73114.2,72542.9,1817004,1804291,1792147,0.69,20.4,0.65,20.3,0.49,20.8,0.14,1086,0.28,999,0.99,943,39328.14677347986,40522.39910302717,40478.20853981286
49,Wisconsin,292311.2,299416.0,303891.2,5790186,5807406,5822434,1.0,20.5,1.0,20.5,1.0,20.3,0.03,1291,0.03,1294,0.03,1283,50483.905007542075,51557.61453564638,52193.1549589055
50,Wyoming,37429.1,37987.9,38628.4,578931,577601,578759,1.0,20.2,1.0,20.0,1.0,19.8,0.03,1230,0.03,1257,0.03,1238,64652.091527315,65768.41106577031,66743.49772530535
