state,pop_2017,pop_2018,pop_2019
United States,"324,985,539","326,687,501","328,239,523"
Alabama,"4,874,486","4,887,681","4,903,185"
Alaska,"739,700","735,139","731,545"
Arizona,"7,044,008","7,158,024","7,278,717"
Arkansas,"3,001,345","3,009,733","3,017,804"
California,"39,358,497","39,461,588","39,512,223"
Colorado,"5,611,885","5,691,287","5,758,736"
Connecticut,"3,573,297","3,571,520","3,565,287"
Delaware,"956,823","965,479","973,764"
District of Columbia,"694,906","701,547","705,749"
Florida,"20,963,613","21,244,317","21,477,737"
Georgia,"10,410,330","10,511,131","10,617,423"
Hawaii,"1,424,393","1,420,593","1,415,872"
Idaho,"1,717,715","1,750,536","1,787,065"
Illinois,"12,778,828","12,723,071","12,671,821"
Indiana,"6,658,078","6,695,497","6,732,219"
Iowa,"3,141,550","3,148,618","3,155,070"
Kansas,"2,908,718","2,911,359","2,913,314"
Kentucky,"4,452,268","4,461,153","4,467,673"
Louisiana,"4,670,560","4,659,690","4,648,794"
Maine,"1,334,612","1,339,057","1,344,212"
Maryland,"6,023,868","6,035,802","6,045,680"
Massachusetts,"6,859,789","6,882,635","6,892,503"
Michigan,"9,973,114","9,984,072","9,986,857"
Minnesota,"5,566,230","5,606,249","5,639,632"
Mississippi,"2,988,510","2,981,020","2,976,149"
Missouri,"6,106,670","6,121,623","6,137,428"
Montana,"1,052,482","1,060,665","1,068,778"
Nebraska,"1,915,947","1,925,614","1,934,408"
Nevada,"2,969,905","3,027,341","3,080,156"
New Hampshire,"1,348,787","1,353,465","1,359,711"
New Jersey,"8,885,525","8,886,025","8,882,190"
New Mexico,"2,091,784","2,092,741","2,096,829"
New York,"19,589,572","19,530,351","19,453,561"
North Carolina,"10,268,233","10,381,615","10,488,084"
North Dakota,"754,942","758,080","762,062"
Ohio,"11,659,650","11,676,341","11,689,100"
Oklahoma,"3,931,316","3,940,235","3,956,971"
Oregon,"4,143,625","4,181,886","4,217,737"
Pennsylvania,"12,787,641","12,800,922","12,801,989"
Rhode Island,"1,055,673","1,058,287","1,059,361"
South Carolina,"5,021,268","5,084,156","5,148,714"
South Dakota,"872,868","878,698","884,659"
Tennessee,"6,708,799","6,771,631","6,829,174"
Texas,"28,295,273","28,628,666","28,995,881"
Utah,"3,101,042","3,153,550","3,205,958"
Vermont,"624,344","624,358","623,989"
Virginia,"8,463,587","8,501,286","8,535,519"
Washington,"7,423,362","7,523,869","7,614,893"
West Virginia,"1,817,004","1,804,291","1,792,147"
Wisconsin,"5,790,186","5,807,406","5,822,434"
Wyoming,"578,931","577,601","578,759"
